Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Opal Creek and feedlot,QLD,ACTON LAND & CATTLE COMPANY-AUSTRALIAN COUNTRY CHOICE,accbeef.net.au,ACC Group,https://www.accbeef.net.au/our-business/properties/,,,,,,,,
Redford Station,QLD,ACTON LAND & CATTLE COMPANY-AUSTRALIAN COUNTRY CHOICE,accbeef.net.au,ACC Group,https://www.accbeef.net.au/our-business/properties/,,,,,,,,
Rugby Run,QLD,ACTON LAND & CATTLE COMPANY-AUSTRALIAN COUNTRY CHOICE,accbeef.net.au,ACC Group,https://www.accbeef.net.au/our-business/properties/,,,,,,,,
Toarki,QLD,ACTON LAND & CATTLE COMPANY-AUSTRALIAN COUNTRY CHOICE,accbeef.net.au,ACC Group,https://www.accbeef.net.au/our-business/properties/,Toarki & Rosewood,,,,,,,
Wellclose Station,QLD,ACTON LAND & CATTLE COMPANY-AUSTRALIAN COUNTRY CHOICE,accbeef.net.au,ACC Group,https://www.accbeef.net.au/our-business/properties/,Wellclose Group,,,,,,,
Amburla Station,NT,AMBURLA NOMINEES,Na,Amburla Nominees,https://nt.gov.au/__data/assets/pdf_file/0005/236588/nt_brands-directory-sorted-by-three-letter-brand.pdf,,,,,,,,
Hamilton Downs Station,NT,AMBURLA NOMINEES,Na,Amburla Nominees,https://nt.gov.au/__data/assets/pdf_file/0005/236588/nt_brands-directory-sorted-by-three-letter-brand.pdf,,,,,,,,
Carpentaria Downs,QLD,ANGUS PASTORAL COMPANY,Na,,https://www.signaturebeef.com.au/angus.html,,,,,,,,
Chesterfield Station,QLD,ANGUS PASTORAL COMPANY,Na,,https://www.beefcentral.com/property/weekly-property-review-qld-grazing-property-values-to-plunge-under-veg-management-laws/,"This property is conspicuously absent from the main menu of the website, only present in history https://www.signaturebeef.com.au/signature-story.html",,,,,,,
Kimberley Station,QLD,ANGUS PASTORAL COMPANY,Na,,https://www.signaturebeef.com.au/angus.html,,,,,,,,
Sondella feedlot,QLD,ANGUS PASTORAL COMPANY,Na,,https://www.signaturebeef.com.au/angus.html,,,,,,,,
Vermelha Station,NT,AN VIEN PASTORAL HOLDING & AGRICULTURE,Na,,https://www.abc.net.au/news/rural/2016-10-07/vermelha-station-sold-an-vien-pastoral-pham-nhat-vu/7658990,,,,,,,,
Arrabury Station,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,Arrabury Pastoral Company,https://www.arrabury.com.au/the-channel-country-properties,,,,,,,,
Binda,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,Arrabury Pastoral Company,https://www.arrabury.com.au/binda,,,,,,,,
Cluny Station,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,Arrabury Pastoral Company,https://www.arrabury.com.au/the-channel-country-properties,,,,,,,,
Mineeda Station,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,,https://www.farmonline.com.au/story/6357474/grass-still-the-driver-for-central-west-queensland-sales/,Might have changed hands between brothers? No longer on arrabury website,,,,,,,
Mt Leonard Station,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,Arrabury Pastoral Company,https://www.arrabury.com.au/the-channel-country-properties,,,,,,,,
Tarves Station,QLD,ARRABURY PASTORAL COMPANY,arrabury.com.au,Arrabury Pastoral Company,https://www.arrabury.com.au/the-blackall-properties,,,,,,,,
Widgen,NSW,AUSCOTT,Na,,https://www.auscott.com.au/namoi,I think the Narrabri property is Widgen but can't find on company website - is on Aus Cotton website http://www.australiancottonawards.com/wp-content/uploads/2014/07/Case-Study-Auscott-Namoi-Valley.pdf,,,,,,,
Jasper Farms,WA,AUSTON CORPORATION,Na,,https://www.farmonline.com.au/story/5169445/chinese-agribusiness-boss-goodfellow-joins-canadians/,Ontario Teachers’ Pension Plan,,,,,,,
Margooya/Canarvon,VIC,AUSTON CORPORATION,Na,,https://www.afr.com/property/ontario-teachers-pension-plan-board-cracks-115m-macquarie-almond-deal-20150807-gitsjt,Ontario Teachers’ Pension Plan,,,,,,,
Anthony Lagoon/Eva Downs,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Avon and Austral Downs,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Brunette Downs Station,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Camfield Station,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Canobie Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Carrum Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Dalgonally Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Delamere Station,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Glentana Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Goonoo Farm,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Headingly Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
La Belle,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Montejinni Station,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Pell and Tortilla,NT,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
South Galway Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Wondoola Station,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Wylarah Station and Farm,QLD,AUSTRALIAN AGRICULTURAL COMPANY,Na,Australian Agricultural Company,https://aaco.com.au/operations/properties,,,,,,,,
Barratta,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Boonoke,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Burrabogie,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Kolora,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Mulberrygong,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
North Cobran,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Peppinella,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Wahwoon,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Wanganella,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Warriston,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Wingadee,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Zara,NSW,AUSTRALIAN FOOD AND AGRICULTURE,Na,Australian Food & Agriculture Company,https://austfood.com.au/about/,,,,,,,,
Coomboona Farms,VIC,AUSTRALIAN FRESH MILK HOLDINGS,Na,Australian Fresh Milk Holdings,https://www.cbinsights.com/investor/australian-fresh-milk-holdings,,,,,,,,
Moxey Farms,NSW,AUSTRALIAN FRESH MILK HOLDINGS,Na,Australian Fresh Milk Holdings,https://www.cbinsights.com/investor/australian-fresh-milk-holdings,,,,,,,,
Torrumbarry Estate aggregation,Torrumbarry Estate aggregation,AUSTRALIAN FRESH MILK HOLDINGS,Na,Australian Fresh Milk Holdings,https://www.cbinsights.com/investor/australian-fresh-milk-holdings,,,,,,,,
Cobar aggregation,NSW,AUSTRALIAN GREEN PROPERTIES PTY LTD,Na,,https://www.farmonline.com.au/story/3462314/romeo-roxas-buys-nt-cattle-stations/,,,,,,,,
Murray Downs,NT,AUSTRALIAN GREEN PROPERTIES PTY LTD,Na,,https://www.abc.net.au/news/rural/2015-11-02/central-australian-cattle-stations-hot-property/6906010,,,,,,,,
Lighthouse Station,QLD,AUSTRALIAN PASTORAL LAND COMPANY,Na,,https://www.beefcentral.com/property/property-14m-buys-romas-showcase-lighthouse-cattle-block/,,,,,,,,
Lorraine,QLD,AUSTRALIAN PASTORAL LAND COMPANY,Na,,https://www.beefcentral.com/property/property-14m-buys-romas-showcase-lighthouse-cattle-block/,,,,,,,,
Epenarra,NT,BASS CATTLE COMPANY,Na,,https://www.abc.net.au/news/rural/2019-06-07/nt-epenarra-station-sells-for-14-million-to-qld-bull-breeders/11185618,,,,,,,,
