Name,State,Owner (WT),WT Source,Owner (Josh),Source,Notes,,,,,,,
Beefwood Park Station,WA,CONSOLIDATED AUSTRALIAN PASTORAL HOLDINGS,Na,Argyle Cattle Company,http://www.argylecattle.com.au/beefwood-park-station/,Consolidated Australian Pastoral Holdings,Archstone Investment Group,,,,,,
Moola Boola Station,WA,CONSOLIDATED AUSTRALIAN PASTORAL HOLDINGS,Na,Argyle Cattle Company,http://www.argylecattle.com.au/beefwood-park-station/,Consolidated Australian Pastoral Holdings,Archstone Investment Group,,,,,,
Mt Amhurst Station,WA,CONSOLIDATED AUSTRALIAN PASTORAL HOLDINGS,Na,Argyle Cattle Company,http://www.argylecattle.com.au/beefwood-park-station/,Consolidated Australian Pastoral Holdings,Archstone Investment Group,,,,,,
Shamrock Station,WA,CONSOLIDATED AUSTRALIAN PASTORAL HOLDINGS,Na,Argyle Cattle Company,http://www.argylecattle.com.au/beefwood-park-station/,Consolidated Australian Pastoral Holdings,Archstone Investment Group,,,,,,
Allawah,QLD,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Bunda Station,NT,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Carlton Hill and Ivanhoe Station,WA,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Dungowan Station,NT,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Isis Downs Station,QLD,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Kirkimbie Station,NT,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Manbullo Station,NT,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Newcastle Waters Station,NT,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Wrotham Park Station,QLD,CONSOLIDATED PASTORAL COMPANY,Na,Consolidated Pastoral Company,https://www.pastoral.com/en/our-properties-list,,,,,,,,
Merrilla,NSW,COOLONG PASTORAL AUSTRALIA,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-6/,,,,,,,,
Natue Station,NSW,COOLONG PASTORAL AUSTRALIA,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-6/,,,,,,,,
Toronga Station,NSW,COOLONG PASTORAL AUSTRALIA,Na,,https://www.beefcentral.com/property/movement-at-the-station-a-roundup-of-rural-property-briefs-6/,,,,,,,,
Jamestown,SA,CC COOPER & CO,Na,,https://www.agtrader.com.au/news/livestock-sheep/cooper-operations-flock-transition-to-eid-boosts-welfare,,,,,,,,
Madura Plains,WA,CC COOPER & CO,Na,,https://www.agtrader.com.au/news/livestock-sheep/cooper-operations-flock-transition-to-eid-boosts-welfare,,,,,,,,
Wonga Station,NSW,CC COOPER & CO,Na,,https://www.agtrader.com.au/news/livestock-sheep/cooper-operations-flock-transition-to-eid-boosts-welfare,,,,,,,,
Mundine,QLD,CORISH FARMS PTY LTD,Na,,https://www.goondiwindiargus.com.au/story/5577730/north-west-cotton-growers-recognised-at-industry-awards/?cs=1829,,,,,,,,
Yambocully,QLD,CORISH FARMS PTY LTD,Na,,https://www.whitepages.com.au/corish-farms-pty-ltd-10058748/n-v-corish-10058747B,,,,,,,,
Yattlewondi,QLD,CORISH FARMS PTY LTD,Na,,https://www.whitepages.com.au/corish-farms-pty-ltd-10058748/spc-farming-pty-ltd-10058742B,SPC Farming Ltd,,,,,,,
Mandurah Compost,,,,Costa Group,http://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
9 Mile Berry Farm,,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Hillcrest Avocado Farm,,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Kumbia Avocados,,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Tinaroo Avocado Farm,QLD,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Bengeo Road Berry Farm,Tas,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Stuarts Point Avocado Farm,,,,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Amaroo Citrus Farm,SA,COSTA GROUP,costagroup.com.au,Costa Group,http://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Atherton Berry Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Atherton Avocado Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Casuarina Mushroom Farm,WA,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/our-categories/mushrooms/,,,,,,,,
Childers Avocado Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Colignan Citrus Farm,VIC,COSTA GROUP,costagroup.com.au,,http://www.fruitnet.com/asiafruit/article/177603/costa-acquires-ncf,,,,,,,,
Comboyne Avocado Farm,NSW,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Corindi Berry Farm,NSW,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Dunorlan Berry Farm,TAS,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
East Devonport Berry Farm,TAS,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Gingin Berry Farm,WA,COSTA GROUP,costagroup.com.au,Costa Group,http://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Guyra Tomato Glasshouse,NSW,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Kangara Citrus Farm,SA,Na,costagroup.com.au,,https://www.weeklytimesnow.com.au/agribusiness/on-farm/costa-group-the-pick-of-the-horticultural-bunch/news-story/469fcfa009a46c7c0bfc5ad8d4e966c3,,,,,,,,
Lebrina Berry Farm,TAS,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Lindsey Point Citrus Farm,VIC,COSTA GROUP,costagroup.com.au,,https://costagroup.currentjobs.co/job/assistant-farm-manager/south-australia/402,Lindsay?,,,,,,,
Mernda Mushroom Farm,VIC,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/our-categories/mushrooms/,,,,,,,,
Monarto Mushroom Farm,SA,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/our-categories/mushrooms/,,,,,,,,
Mundubbera Grape Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Pike Creek Citrus Farm,SA,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Rosewood Berry Farm,NSW,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Solora Citrus Farm,SA,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Sulphur Creek Berry Farm,TAS,COSTA GROUP,costagroup.com.au,,https://www.theadvocate.com.au/story/5159888/costa-picks-a-mix-of-workers-for-berries/,,,,,,,,
Tolga Berry Farm,QLD,COSTA GROUP,costagroup.com.au,,,,,,,,,,
Tully Banana Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Tumbarumba Berry Farm,NSW,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Walkamin Banana Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Walkamin Berry Farm,QLD,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Wesley Vale Berry Farm,TAS,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Yandilla Citrus Farm,SA,COSTA GROUP,costagroup.com.au,Costa Group,https://costagroup.com.au/grow-your-career/where-we-grow/,,,,,,,,
Yarrambat Mushroom Farm,VIC,COSTA GROUP,costagroup.com.au,,,,,,,,,,
Nogoa River aggregation,QLD,COWAL AGRICULTURE,Na,Cowal Agriculture,http://www.cowalag.com/about/,,,,,,,,
Andado Station,NT,CROWN POINT PASTORAL COMPANY,Na,,https://www.outbackmag.com.au/beating-heart/,,,,,,,,
Clifton Hills Station,SA,CROWN POINT PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2018-12-24/clifton-hills-purchased-australian-farmers/10645440,,,,,,,,
Crown Point,SA,CROWN POINT PASTORAL COMPANY,Na,,https://www.outbackmag.com.au/beating-heart/,,,,,,,,
Maryvale Station,NT,CROWN POINT PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2018-04-05/maryvale-station-in-central-australia-changes-hands/9614222,,,,,,,,
Pandie Pandie Station,SA,CROWN POINT PASTORAL COMPANY,Na,,https://www.abc.net.au/news/rural/2018-12-24/clifton-hills-purchased-australian-farmers/10645440,,,,,,,,
Liveringa Station,WA,DOWFORD INVESTMENTS,Na,,https://www.abc.net.au/news/rural/2014-07-02/rinehart-secures-stake-in-major-cattle-investment/5566694,Milne AgriGroup,JV with Gina Rinehart?,,,,,,
Nerrima Station,WA,DOWFORD INVESTMENTS,Na,,https://www.abc.net.au/news/rural/2014-07-02/rinehart-secures-stake-in-major-cattle-investment/5566694,Milne AgriGroup,JV with Gina Rinehart?,,,,,,
Blackwood Station,VIC,DUNKELD PASTORAL COMPANY,dunkeldpastoral.com.au,Dunkeld Pastoral Co,https://www.dunkeldpastoral.com.au/dunkeld-farms,,,,,,,,
Dunkeld Station aggregation,VIC,DUNKELD PASTORAL COMPANY,dunkeldpastoral.com.au,Dunkeld Pastoral Co,https://www.dunkeldpastoral.com.au/dunkeld-farms,,,,,,,,
Doongan/Theda Stations,WA,DUNKELD PASTORAL COMPANY,dunkeldpastoral.com.au,Dunkeld Pastoral Co,https://www.dunkeldpastoral.com.au/kimberley,,,,,,,,
Tipperary Group: Tipperary East,NT,DUNKELD PASTORAL COMPANY,dunkeldpastoral.com.au,Dunkeld Pastoral Co,https://www.dunkeldpastoral.com.au/investments,,,,,,,,
Kadlunga,SA,TIM & EMILY EDMUNDS-HALE RIVER HOLDINGS,Na,,SOLD,https://www.stockjournal.com.au/story/6215679/collinsville-stud-owners-buy-historic-kadlunga/,,,,,,,
Napperby Station,NT,TIM & EMILY EDMUNDS-HALE RIVER HOLDINGS,Na,,https://www.abc.net.au/news/rural/2017-10-23/central-australia-napperby-cattle-station-sold/9077502,,,,,,,,
Narwietooma,NT,TIM & EMILY EDMUNDS-HALE RIVER HOLDINGS,Na,,https://www.abc.net.au/news/rural/2020-05-14/narwietooma-glen-helen-derwent-stations-sell-to-edmunds-family/12246572,,,,,,,,
Bullo River Station,NT,GRANT FARRIS,Na,Julian and Alexandra Burt,https://bulloriver.com.au/the-history/,,,,,,,,
Wintinna,SA,J&F FENNELL,Na,,https://www.abc.net.au/news/rural/2015-06-05/giles-family-says-farewell-to-wintinna-station/6523630,,,,,,,,
Aberfeldy,NSW,TA FIELD ESTATES,Na,,,,,,,,,,
Benangaroo Station,NSW,TA FIELD ESTATES,Na,,,,,,,,,,
Congi Station,NSW,TA FIELD ESTATES,Na,,https://www.outbackmag.com.au/fine-wether/,,,,,,,,
Doughboy Mountain and Mirrugalee,NSW,TA FIELD ESTATES,Na,,,,,,,,,,
Mobinbry and Wilby,NSW,TA FIELD ESTATES,Na,,,,,,,,,,
Wyvern Station,NSW,TA FIELD ESTATES,Na,,,,,,,,,,
Amaroo,SA,FIRST STATE SUPER,Na,,https://www.farmonline.com.au/story/3377007/super-funds-150m-farm-buy/,,,,,,,,
Mendook Farm,NSW,FIRST STATE SUPER,Na,,https://www.farmonline.com.au/story/3377007/super-funds-150m-farm-buy/,,,,,,,,
Mullroo,VIC,FIRST STATE SUPER,Na,,https://www.farmonline.com.au/story/3377007/super-funds-150m-farm-buy/,,,,,,,,
Brick House Station,WA,ANDREW FORREST,minderoo.com.au,Harvest Road Group,https://www.harvestroadbeef.com.au/gate-to-plate/our-stations/,,,,,,,,
Koojan aggregation,WA,ANDREW FORREST,minderoo.com.au,,https://www.beefcentral.com/news/was-harvest-road-to-spend-50m-on-large-scale-free-range-intensive-feeding-model/,,,,,,,,
Minilya Station,WA,ANDREW FORREST,minderoo.com.au,Harvest Road Group,https://www.harvestroadbeef.com.au/gate-to-plate/our-stations/,,,,,,,,
Minderoo Station,WA,ANDREW FORREST,minderoo.com.au,Harvest Road Group,https://www.harvestroadbeef.com.au/gate-to-plate/our-stations/,,,,,,,,
Nanutarra/Uaroo,WA,ANDREW FORREST,minderoo.com.au,Harvest Road Group,https://www.harvestroadbeef.com.au/gate-to-plate/our-stations/,Minderoo South,,,,,,,
Eilan Donan and Breadalbane,VIC,FUCHENG GROUP,Na,,https://www.theage.com.au/national/victoria/historic-victorian-farms-near-bendigo-bought-by-chinese-buyers-20150309-13z77a.html,,,,,,,,
Nerowie Farm,VIC,FUCHENG GROUP,Na,Fucheng Group,https://fucheng.com.au/,,,,,,,,
Woodhouse Station,VIC,FUCHENG GROUP,Na,Fucheng Group,https://fucheng.com.au/,,,,,,,,
Woodlands,QLD,FUCHENG GROUP,Na,,https://www.abc.net.au/news/rural/2015-09-22/all-international-$28-million-deal-for-sq-property-woodlands/6794406,,,,,,,,
Darran Aggregation,QLD,GIBSON GRAZING,Na,,https://www.councilnews.com.au/2019/02/4308634-property-southern-qlds-darran-aggregation-makes,,,,,,,,
Manners Creek Station,NT,GIBSON GRAZING,Na,,https://www.councilnews.com.au/2019/02/4308634-property-southern-qlds-darran-aggregation-makes,,,,,,,,
Bakers Bridge Farm,VIC,GLENTHOMPSON PASTORAL COMPANY,glenthompsonpastoral.com.au,Glenthompson Pastoral Company,https://www.glenthompsonpastoral.com.au/copy-of-properties,,,,,,,,
Brie Brie,VIC,GLENTHOMPSON PASTORAL COMPANY,glenthompsonpastoral.com.au,Glenthompson Pastoral Company,https://www.glenthompsonpastoral.com.au/copy-of-properties,,,,,,,,
Doonaree,VIC,GLENTHOMPSON PASTORAL COMPANY,glenthompsonpastoral.com.au,Glenthompson Pastoral Company,https://www.glenthompsonpastoral.com.au/copy-of-properties,,,,,,,,
Larra,VIC,GLENTHOMPSON PASTORAL COMPANY,glenthompsonpastoral.com.au,Glenthompson Pastoral Company,https://www.glenthompsonpastoral.com.au/copy-of-properties,,,,,,,,
Deearne,QLD,GODWIN GRAZING COMPANY,Na,,https://www.beefcentral.com/property/two-qld-properties-sell-for-36-5m-22-5m-to-close-out-2019-property-sales-year/,,,,,,,,
Tanderra Station,QLD,GODWIN GRAZING COMPANY,Na,,https://www.beefcentral.com/property/two-qld-properties-sell-for-36-5m-22-5m-to-close-out-2019-property-sales-year/,,,,,,,,
Welcome,QLD,GODWIN GRAZING COMPANY,Na,,https://www.yellowpages.com.au/qld/springsure/godwin-grazing-co-13655507-listing.html,https://www.queenslandcountrylife.com.au/story/5656957/a-rising-interest-in-brangus/,,,,,,,
Yambah Station,NT,GOREY FAMILY,Na,,For sale in 2018 ,https://www.theland.com.au/story/5403072/landmark-cattle-station-offering-in-the-red-centre/,,,,,,,
Cygnet Park Farms,SA,GROWTH FARMS,Na,,https://www.farmweekly.com.au/story/5917327/kerry-stokes-sells-kangaroo-island-aggregation/#!,,,,,,,,
Boolbie and Archervale,QLD,GRUMMIT & REDDAN FAMILIES,Na,,https://www.queenslandcountrylife.com.au/story/6055539/rush-for-grass-drives-western-land-sales/,,,,,,,,
Abingdon Downs,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Ballaroo,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Ekari Park,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Esmeralda Station,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/3754120/gunn-agri-buys-esmeralda-station/,,,,,,,,
Fairview,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Goodar Station,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Katandra/Illalong,QLD,GUNN AGRI PARTNERS,Na,,https://www.queenslandcountrylife.com.au/story/5714965/gunn-agri-buys-abingdon-downs/,,,,,,,,
Hollymount Station and Mt Driven,QLD,HAILIANG GROUP,Na,,https://www.afr.com/companies/agriculture/chinese-conglomerate-swoops-in-40m-queensland-rural-deal-20150213-13dwjs,,,,,,,,
Cowl Cowl and Wyadra,NSW,HANCOCK AGRICULTURAL INVESTMENT GROUP,Na,,https://www.commercialrealestate.com.au/news/harvard-offloads-cotton-and-almond-farms-for-120m-921862/,Not Gina Rinehart,,,,,,,
Norman Farming aggregation,QLD,HANCOCK AGRICULTURAL INVESTMENT GROUP,Na,,https://www.commercialrealestate.com.au/news/harvard-offloads-cotton-and-almond-farms-for-120m-921862/,Not Gina Rinehart,,,,,,,
Arcoona Station,SA,HANDBURY GROUP,Na,,https://www.adelaidenow.com.au/business/sa-business-journal/collinsville-merino-breeding-empire-sold-to-adelaide-businessman-george-millington/news-story/e55580759645a9e8714fc17e7bb550ce,,,,,,,,
Swinging Shovel,SA,HANDBURY GROUP,Na,,https://www.adelaidenow.com.au/business/sa-business-journal/collinsville-merino-breeding-empire-sold-to-adelaide-businessman-george-millington/news-story/e55580759645a9e8714fc17e7bb550ce,,,,,,,,
The Rises,VIC,HANDBURY GROUP,Na,,,,,,,,,,
Bemmery,NSW,PETER & JANE HARRIS,Na,,Beemery? ,https://www.theguardian.com/australia-news/2019/feb/11/bourke-cotton-farmers-to-challenge-water-laws-they-are-accused-of-breaching,,,,,,,
Brewon Station,NSW,PETER & JANE HARRIS,Na,,,,,,,,,,
Kindamindi,NSW,PETER & JANE HARRIS,Na,,,,,,,,,,
Miralwyn,NSW,PETER & JANE HARRIS,Na,,,,,,,,,,
Moomin,NSW,PETER & JANE HARRIS,Na,,,,,,,,,,
Rumleigh,NSW,PETER & JANE HARRIS,Na,,,,,,,,,,
Benmara Station,NT,MALCOLM HARRIS-CLEVELAND AGRICULTURE,Na,,https://www.abc.net.au/news/rural/2019-06-19/malcolm-harris-buys-cpc-ucharonidge-station-nt/11219778,,,,,,,,
Gogo Station,WA,MALCOLM HARRIS-CLEVELAND AGRICULTURE,Na,,https://www.abc.net.au/news/rural/2019-06-19/malcolm-harris-buys-cpc-ucharonidge-station-nt/11219778,,,,,,,,
Nockatunga Station,QLD,MALCOLM HARRIS-CLEVELAND AGRICULTURE,Na,,https://www.abc.net.au/news/rural/2019-06-19/malcolm-harris-buys-cpc-ucharonidge-station-nt/11219778,,,,,,,,
Ucharonidge Station,NT,MALCOLM HARRIS-CLEVELAND AGRICULTURE,Na,,https://www.abc.net.au/news/rural/2019-06-19/malcolm-harris-buys-cpc-ucharonidge-station-nt/11219778,,,,,,,,
Lake Marimley Station,NSW,RON HARRIS-RAVENSWORTH AGRICULTURE COMPANY,ravensworthag.com.au,Ravensworth Agriculture,https://www.ravensworthag.com.au/company/location/,,,,,,,,
Ramps Ridge (Ravensworth) feedlot,NSW,RON HARRIS-RAVENSWORTH AGRICULTURE COMPANY,ravensworthag.com.au,Ravensworth Agriculture,https://www.ravensworthag.com.au/company/location/,,,,,,,,
Kingvale,QLD,SCOTT HARRIS,Na,,https://www.abc.net.au/news/2019-04-06/grazier-scott-harris-fined-illegal-land-clearing/10972660,,,,,,,,
Strathmore,QLD,SCOTT HARRIS,Na,,https://www.abc.net.au/news/2019-04-06/grazier-scott-harris-fined-illegal-land-clearing/10972660,,,,,,,,
Dorisvale Station NT.,NT,TONY & JULIE HARROWER,Na,,https://www.abc.net.au/news/rural/2016-04-18/old-mount-bundey-station-pastoral-lease-sale-tony-julie-harrower/7334636,,,,,,,,
Old Mt Bundey,NT,TONY & JULIE HARROWER,Na,,https://www.abc.net.au/news/rural/2016-04-18/old-mount-bundey-station-pastoral-lease-sale-tony-julie-harrower/7334636,,,,,,,,
Ardgour,NSW,GERRY HARVEY-HARVEY NORMAN,Na,,https://www.newcastleherald.com.au/story/3229495/gerry-harvey-snaps-up-ardgour/,,,,,,,,
Baramul,NSW,GERRY HARVEY-HARVEY NORMAN,Na,Gerry Harvey,https://baramulstud.com/about-us,,,,,,,,
Henbury Station,NT,HENBURY UNIT TRUST PTY LTD,Na,,https://www.thechronicle.com.au/news/new-owners-thrive/2627198/,,,,,,,,
Birrindudu Station,NT,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Flora Valley,WA,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Humbert River Station,QLD,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Moolooloo,NT,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Mt Sanford,NT,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Pigeon Hole NT ,NT,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Victoria River Downs,NT,HEYTESBURY CATTLE COMPANY,heytesburycattle.com.au,Heytesbury Cattle Co.,http://heytesburycattle.com.au/our-stations/,,,,,,,,
Avago Station,NT,KEITH HOLZWART,Na,,https://www.abc.net.au/news/rural/2016-02-09/keith-holzwart-avago-station-labor-moratorium-fracking/7151552?nw=0,,,,,,,,
Caldervale,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,https://www.queenslandcountrylife.com.au/story/4095658/hughes-musters-up-57m-qld-cattle-station-buy/,,,,,,,
Cardowan,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Cawnpore Station,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Colomendy and Adelong,NSW,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Grassdale Feedlot,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,,,,,,,,,,
Keeroongooloo and Yeppera,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Lake Nash,NT,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,https://www.queenslandcountrylife.com.au/story/6813699/organic-lake-nash-herd-bound-for-terrick/,https://www.queenslandcountrylife.com.au/story/6813699/organic-lake-nash-herd-bound-for-terrick/,,,,,,,
Sirram,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Tierawoomba,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Tumbar and Marsden,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,https://www.queenslandcountrylife.com.au/story/4095658/hughes-musters-up-57m-qld-cattle-station-buy/,,,,,,,
Waitara,QLD,HUGHES PASTORAL GROUP-GEORGINA PASTORAL COMPANY,hughespastoral.com.au,Hughes Pastoral Group,http://dev.rouleurmade.com/hughes/our-properties/,,,,,,,,
Bulimba Station,QLD,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Cardabia Station,WA,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Welcome Station,QLD,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Gunbalanya Station,NT,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/home/project-profiles/gunbalanya-station-and-meats/,,,,,,,,
Merepah Station,QLD,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Murrayfield,TAS,TAS,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Roebuck Plains Station,WA,INDIGENOUS LAND CORPORATION,ilc.gov.au,Indigenous Land and Sea Corporation,https://www.ilsc.gov.au/wp-content/uploads/2020/03/ILSCHeldGrantedPropertiesDec2019.pdf,,,,,,,,
Warrigundu Station/Hodgson Downs,NT,NT,ilc.gov.au,,,,,,,,,,
Suaramez,NSW,JACKSON AGRICULTURE,Na,Jackson Agriculture,http://www.jacksonag.com.au/#section3,,,,,,,,
Braeside,NSW,JACKSON AGRICULTURE,Na,Jackson Agriculture,http://www.jacksonag.com.au/#section3,,,,,,,,
Lakeside,NSW,JACKSON AGRICULTURE,Na,Jackson Agriculture,http://www.jacksonag.com.au/#section3,,,,,,,,
